Sales,Date,Region
1638.00,06-02-2018,north
1647.00,06-02-2018,south
1731.00,06-02-2018,east
1557.00,06-02-2018,west
1587.00,07-02-2018,north
1698.00,07-02-2018,south
1542.00,07-02-2018,east
1635.00,07-02-2018,west
1602.00,08-02-2018,north
1536.00,08-02-2018,south
1503.00,08-02-2018,east
1701.00,08-02-2018,west
1758.00,09-02-2018,north
1662.00,09-02-2018,south
1782.00,09-02-2018,east
1515.00,09-02-2018,west
1662.00,10-02-2018,north
1557.00,10-02-2018,south
1650.00,10-02-2018,east
1674.00,10-02-2018,west
1554.00,11-02-2018,north
1587.00,11-02-2018,south
1563.00,11-02-2018,east
1764.00,11-02-2018,west
1758.00,12-02-2018,north
1608.00,12-02-2018,south
1569.00,12-02-2018,east
1653.00,12-02-2018,west
1572.00,13-02-2018,north
1716.00,13-02-2018,south
1773.00,13-02-2018,east
1725.00,13-02-2018,west
1767.00,14-02-2018,north
1710.00,14-02-2018,south
1698.00,14-02-2018,east
1512.00,14-02-2018,west
1746.00,15-02-2018,north
1734.00,15-02-2018,south
1524.00,15-02-2018,east
1614.00,15-02-2018,west
1578.00,16-02-2018,north
1782.00,16-02-2018,south
1527.00,16-02-2018,east
1752.00,16-02-2018,west
1785.00,17-02-2018,north
1689.00,17-02-2018,south
1641.00,17-02-2018,east
1575.00,17-02-2018,west
1644.00,18-02-2018,north
1674.00,18-02-2018,south
1551.00,18-02-2018,east
1737.00,18-02-2018,west
1563.00,19-02-2018,north
1647.00,19-02-2018,south
1605.00,19-02-2018,east
1539.00,19-02-2018,west
1698.00,20-02-2018,north
1575.00,20-02-2018,south
1500.00,20-02-2018,east
1551.00,20-02-2018,west
1737.00,21-02-2018,north
1542.00,21-02-2018,south
1665.00,21-02-2018,east
1548.00,21-02-2018,west
1635.00,22-02-2018,north
1632.00,22-02-2018,south
1668.00,22-02-2018,east
1764.00,22-02-2018,west
1533.00,23-02-2018,north
1563.00,23-02-2018,south
1641.00,23-02-2018,east
1773.00,23-02-2018,west
1629.00,24-02-2018,north
1698.00,24-02-2018,south
1725.00,24-02-2018,east
1722.00,24-02-2018,west
1596.00,25-02-2018,north
1710.00,25-02-2018,south
1635.00,25-02-2018,east
1659.00,25-02-2018,west
1686.00,26-02-2018,north
1533.00,26-02-2018,south
1524.00,26-02-2018,east
1530.00,26-02-2018,west
1665.00,27-02-2018,north
1695.00,27-02-2018,south
1578.00,27-02-2018,east
1620.00,27-02-2018,west
1767.00,28-02-2018,north
1593.00,28-02-2018,south
1743.00,28-02-2018,east
1557.00,28-02-2018,west
1668.00,01-03-2018,north
1782.00,01-03-2018,south
1527.00,01-03-2018,east
1668.00,01-03-2018,west
1635.00,02-03-2018,north
1569.00,02-03-2018,south
1746.00,02-03-2018,east
1773.00,02-03-2018,west
1539.00,03-03-2018,north
1500.00,03-03-2018,south
1569.00,03-03-2018,east
1557.00,03-03-2018,west
1773.00,04-03-2018,north
1644.00,04-03-2018,south
1614.00,04-03-2018,east
1674.00,04-03-2018,west
1533.00,05-03-2018,north
1653.00,05-03-2018,south
1557.00,05-03-2018,east
1746.00,05-03-2018,west
1719.00,06-03-2018,north
1719.00,06-03-2018,south
1659.00,06-03-2018,east
1800.00,06-03-2018,west
1581.00,07-03-2018,north
1602.00,07-03-2018,south
1608.00,07-03-2018,east
1650.00,07-03-2018,west
1611.00,08-03-2018,north
1530.00,08-03-2018,south
1698.00,08-03-2018,east
1668.00,08-03-2018,west
1746.00,09-03-2018,north
1524.00,09-03-2018,south
1506.00,09-03-2018,east
1704.00,09-03-2018,west
1788.00,10-03-2018,north
1719.00,10-03-2018,south
1746.00,10-03-2018,east
1584.00,10-03-2018,west
1692.00,11-03-2018,north
1635.00,11-03-2018,south
1608.00,11-03-2018,east
1590.00,11-03-2018,west
1599.00,12-03-2018,north
1518.00,12-03-2018,south
1602.00,12-03-2018,east
1659.00,12-03-2018,west
1644.00,13-03-2018,north
1611.00,13-03-2018,south
1554.00,13-03-2018,east
1515.00,13-03-2018,west
1515.00,14-03-2018,north
1632.00,14-03-2018,south
1512.00,14-03-2018,east
1776.00,14-03-2018,west
1677.00,15-03-2018,north
1503.00,15-03-2018,south
1605.00,15-03-2018,east
1647.00,15-03-2018,west
1506.00,16-03-2018,north
1737.00,16-03-2018,south
1590.00,16-03-2018,east
1767.00,16-03-2018,west
1593.00,17-03-2018,north
